"npTitleId","npTitleIdshort","name","region","category","psVr","neoEnable","ps5bc","date"
"CUSA00001_00","CUSA00001","THE PLAYROOM","IP","gd",0,0,"N/A","2020-10-31T20:05:22.0762947Z"
"CUSA00002_00","CUSA00002","KILLZONE™ SHADOW FALL","EP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.103048Z"
"CUSA00003_00","CUSA00003","DRIVECLUB™","EP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.1135682Z"
"CUSA00004_00","CUSA00004","inFAMOUS™ Second Son","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:05:22.1250514Z"
"CUSA00005_00","CUSA00005","RESOGUN™","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:05:22.1354462Z"
"CUSA00006_00","CUSA00006","KNACK™","EP","gd",0,1,"COMPATIBLE","2020-10-31T20:05:22.1448836Z"
"CUSA00007_00","CUSA00007","NBA 2K14","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.1550219Z"
"CUSA00008_00","CUSA00008","KILLZONE™ SHADOW FALL","EP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.165097Z"
"CUSA00009_00","CUSA00009","Assassin's Creed® IV Black Flag","EP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.1753563Z"
"CUSA00010_00","CUSA00010","Assassin's Creed® IV Black Flag","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.1857552Z"
"CUSA00011_00","CUSA00011","Contrast","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.1958464Z"
"CUSA00012_00","CUSA00012","DC Universe Online","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.20597Z"
"CUSA00013_00","CUSA00013","F1™ 2015","EP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.216089Z"
"CUSA00014_00","CUSA00014","KNACK","JP","gd",0,1,"COMPATIBLE","2020-10-31T20:05:22.2262263Z"
"CUSA00016_00","CUSA00016","WATCH_DOGS™","EP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.2384015Z"
"CUSA00017_00","CUSA00017","Angry Birds Star Wars","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.2486237Z"
"CUSA00018_00","CUSA00018","Call of Duty® Ghosts","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.258373Z"
"CUSA00019_00","CUSA00019","Skylanders SWAP Force","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.2677244Z"
"CUSA00020_00","CUSA00020","F1™ 2015","UP","gd",0,0,"COMPATIBLE","2020-10-31T20:05:22.2760177Z"
