"NP Title ID","Title ID","Title","Region","Category","PS VR","PS4 Pro Enhanced","PS5 backward compatible","Date"
"CUSA00001_00","CUSA00001","THE PLAYROOM","IP","gd",0,0,"N/A","2020-11-01T14:25:42.2440643Z"
"CUSA00002_00","CUSA00002","KILLZONE™ SHADOW FALL","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.2707137Z"
"CUSA00003_00","CUSA00003","DRIVECLUB™","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.2779936Z"
"CUSA00004_00","CUSA00004","inFAMOUS™ Second Son","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:25:42.2840693Z"
"CUSA00005_00","CUSA00005","RESOGUN™","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:25:42.2902388Z"
"CUSA00006_00","CUSA00006","KNACK™","EP","gd",0,1,"COMPATIBLE","2020-11-01T14:25:42.2984386Z"
"CUSA00007_00","CUSA00007","NBA 2K14","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3046547Z"
"CUSA00008_00","CUSA00008","KILLZONE™ SHADOW FALL","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3113854Z"
"CUSA00009_00","CUSA00009","Assassin's Creed® IV Black Flag","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3176806Z"
"CUSA00010_00","CUSA00010","Assassin's Creed® IV Black Flag","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3244912Z"
"CUSA00011_00","CUSA00011","Contrast","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3307223Z"
"CUSA00012_00","CUSA00012","DC Universe Online","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3374064Z"
"CUSA00013_00","CUSA00013","F1™ 2015","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3434917Z"
"CUSA00014_00","CUSA00014","KNACK","JP","gd",0,1,"COMPATIBLE","2020-11-01T14:25:42.3503273Z"
"CUSA00016_00","CUSA00016","WATCH_DOGS™","EP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3567765Z"
"CUSA00017_00","CUSA00017","Angry Birds Star Wars","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3637752Z"
"CUSA00018_00","CUSA00018","Call of Duty® Ghosts","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3710273Z"
"CUSA00019_00","CUSA00019","Skylanders SWAP Force","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3774013Z"
"CUSA00020_00","CUSA00020","F1™ 2015","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.3845836Z"
"CUSA00021_00","CUSA00021","WATCH_DOGS™","UP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.391053Z"
"CUSA00022_00","CUSA00022","WATCH_DOGS™","JP","gd",0,0,"COMPATIBLE","2020-11-01T14:25:42.398438Z"
